id;season_id;created_at;updated_at;name;full_name;first_name;last_name;position;position_id;birth_date;birth_place;nationality;height;weight;is_injured;injury_description;holdet_url;holdet_name;holdet_position;team_id;holdet_value;holdet_popularity;holdet_team;holdet_id
540106;6397;1523380902081;1523380902081;T. Oakley-Boothe;Tashan Oakley-Boothe;Tashan;Oakley-Boothe;Midfielder;3;14/02/2000;England;England;182 cm;73 kg;false;;/da/premier-league-fantasy-spring-2018/players/tashan_oakley_boothe;Tashan Oakley-Boothe;Midtbane;19369;1950000;0.001;Tottenham;tashan_oakley_boothe
540459;6397;1523380902152;1523380902152;K. Sterling;Kazaiah Sterling;Kazaiah;Sterling;Attacker;4;09/11/1998;England;England;175 cm;71 kg;false;;/da/premier-league-fantasy-spring-2018/players/raheem_sterling;Raheem Sterling;Midtbane;19369;9246000;0.07;Manchester City;raheem_sterling
340342;6397;1523380902369;1523380902369;Brahim Diaz;Brahim Abdelkader Diaz;Brahim;Abdelkader Diaz;Midfielder;3;03/08/1999;Spain;Spain;170 cm;68 kg;false;;/da/premier-league-fantasy-spring-2018/players/brahim_diaz;Brahim Diaz;Midtbane;678;2053000;0.002;Manchester City;brahim_diaz
336133;6397;1523380902382;1523380902382;P. Foden;Philip Foden;Philip;Foden;Midfielder;3;28/05/2000;England;England;171 cm;70 kg;false;;/da/premier-league-fantasy-spring-2018/players/phil_foden;Phil Foden;Midtbane;678;2084000;0.004;Manchester City;phil_foden
537217;6397;1523380902498;1523380902498;L. Nmecha;Lukas Nmecha;Lukas;Nmecha;Attacker;4;14/12/1998;England;England;185 cm;80 kg;false;;/da/premier-league-fantasy-spring-2018/players/lukas_nmecha;Lukas Nmecha;Angreb;678;1960000;0;Manchester City;lukas_nmecha
537279;6397;1523380902509;1523380902509;D. Grimshaw;Daniel Grimshaw;Daniel;Grimshaw;Goalkeeper;1;16/01/1998;England;England;185 cm;77 kg;false;;/da/premier-league-fantasy-spring-2018/players/daniel_williams;Daniel Williams;Midtbane;678;2522000;0.001;Huddersfield;daniel_williams
537207;6397;1523380902517;1523380902517;D. Duhaney;Demeaco Duhaney;Demeaco;Duhaney;Defender;2;13/10/1998;England;England;180 cm;70 kg;false;;/da/premier-league-fantasy-spring-2018/players/damien_delaney;Damien Delaney;Forsvar;678;1924000;0.002;Crystal Palace;damien_delaney
2823509;6397;1523380902524;1523380902524;T. Dele-Bashiru;Ayotomiwa Dele-Bashiru;Ayotomiwa;Dele-Bashiru;Midfielder;3;17/09/1999;England;England;179 cm;68 kg;false;;/da/premier-league-fantasy-spring-2018/players/damien_delaney;Damien Delaney;Forsvar;678;1924000;0.002;Crystal Palace;damien_delaney
113;6397;1523380902535;1523380902535;G. Myhill;Glyn Oliver Myhill;Glyn Oliver;Myhill;Goalkeeper;1;09/11/1982;USA;Wales;191 cm;91 kg;false;;/da/premier-league-fantasy-spring-2018/players/oliver_harfield;Oliver Harfield;Forsvar;1443;1945000;0.001;Bournemouth;oliver_harfield
4633;6397;1523380902541;1523380902541;A. Palmer;Alex Palmer;Alex;Palmer;Goalkeeper;1;10/08/1996;England;England;183 cm;72 kg;false;;/da/premier-league-fantasy-spring-2018/players/alex_palmer;Alex Palmer;Mål;1443;2445000;0.003;West Bromwich;alex_palmer
