fixture_id;player_id;created_at;updated_at;goals;goals_wide;goals_semi;goals_close;assists;assists_wide;assists_semi;assists_close;red_cards;yellow_cards;fouls_committed;fouls_drawn;shots;shots_on_goal;crosses;crosses_accuracy;passes;passes_accuracy;offsides;saves;penalties_scored;penalties_missed;penalties_saved;tackles;blocks;interceptions;clearances;minutes_played;possible_fouls;id
1711163;84;1529741584055;1529741584055;0;;;;0;;;;0;0;0;0;0;0;0;0;18;72;0;2;0;0;0;0;0;0;0;90;;1711163-84
1711163;2763;1529741584055;1529741584055;0;;;;0;;;;0;0;0;0;0;0;0;0;11;40;0;3;0;0;0;0;0;0;0;90;;1711163-2763
1711163;525;1529741584055;1529741584055;0;;;;0;;;;0;0;0;0;0;0;2;1;24;96;0;0;0;0;0;0;1;1;1;90;;1711163-525
1711164;62317;1529741584055;1529741584055;0;;;;0;;;;0;0;0;0;0;0;0;0;19;54;0;3;0;0;0;0;0;0;0;90;;1711164-62317
1711164;2922;1529741584055;1529741584055;0;;;;0;;;;0;0;0;0;0;0;1;1;22;71;0;0;0;0;0;5;0;2;0;90;;1711164-2922
1711162;1310;1529741584055;1529741584055;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;38;82;0;0;0;0;0;3;1;2;1;90;1;1711162-1310
1711162;1065;1529741584055;1529741584055;0;0;2;0;0;0;0;0;0;0;1;1;5;2;0;0;15;71;0;0;0;0;0;0;0;0;0;90;1;1711162-1065
1711162;867;1529741584055;1529741584055;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;34;85;0;0;0;0;0;1;1;0;1;90;0;1711162-867
1711162;1029;1529741584055;1529741584055;0;0;0;0;0;0;1;0;0;1;0;6;0;0;2;1;16;72;0;0;0;0;0;0;0;0;0;90;0;1711162-1029
1711162;1033;1529741584055;1529741584055;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;20;74;0;0;0;0;0;0;0;1;0;78;1;1711162-1033
1711162;818;1529741584055;1529741584055;0;0;1;0;0;0;2;0;0;0;0;1;2;1;0;0;20;90;0;0;0;0;0;0;0;1;0;59;0;1711162-818
1711162;1869;1529741584055;1529741584055;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;33;89;0;0;0;0;0;2;0;0;0;90;1;1711162-1869
1711162;1028;1529741584055;1529741584055;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;30;73;0;0;0;0;0;0;1;1;1;90;1;1711162-1028
1711162;1309;1529741584055;1529741584055;0;0;0;0;0;0;2;0;0;0;1;4;0;0;2;1;21;80;0;0;0;0;0;0;0;0;0;90;1;1711162-1309
1711162;1052;1529741584055;1529741584055;0;0;1;0;0;0;0;0;0;0;3;0;1;0;0;0;33;66;0;0;0;0;0;1;0;0;0;90;3;1711162-1052
1711162;813;1529741584055;1529741584055;0;0;1;0;0;0;1;0;0;0;0;1;1;0;2;1;39;86;0;0;0;0;0;1;0;0;0;78;0;1711162-813
1711162;1646;1529741584055;1529741584055;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;25;71;0;0;0;0;0;2;0;0;0;72;0;1711162-1646
1711162;1038;1529741584055;1529741584055;0;0;3;0;0;0;0;0;0;0;1;2;4;1;3;0;20;80;0;0;0;0;0;2;0;0;0;90;1;1711162-1038
1711162;1021;1529741584055;1529741584055;0;0;1;0;0;0;1;1;0;0;1;0;1;0;6;3;39;75;0;0;0;0;0;2;1;2;1;90;1;1711162-1021
1711162;428;1529741584055;1529741584055;0;0;1;0;0;0;0;0;0;1;1;0;1;0;3;2;23;65;0;0;0;0;0;2;0;2;0;90;1;1711162-428
1711162;4943;1529741584055;1529741584055;0;0;0;0;0;0;0;0;0;1;3;0;1;0;1;1;40;66;0;0;0;0;0;5;0;4;0;90;3;1711162-4943
1711162;1834;1529741584055;1529741584055;0;0;0;0;0;1;1;0;0;0;1;1;0;0;5;2;35;87;0;0;0;0;0;0;1;2;1;90;1;1711162-1834
1711162;5410;1529741584055;1529741584055;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;29;76;0;0;0;0;0;3;0;3;0;90;0;1711162-5410
1711164;1876;1529741584055;1529741584055;0;;;;0;;;;0;0;1;0;0;0;0;0;55;88;0;0;0;0;0;1;1;0;1;76;;1711164-1876
1711164;165;1529741584055;1529741584055;0;;;;0;;;;0;0;0;0;0;0;3;1;44;86;0;0;0;0;0;1;0;2;0;90;;1711164-165
1711164;846;1529741584055;1529741584055;0;;;;0;;;;0;0;0;1;2;0;4;2;64;90;0;0;0;0;0;0;0;0;0;90;;1711164-846
1711165;1365;1529741584055;1529741584055;0;;;;0;;;;0;0;0;0;0;0;0;0;60;100;0;0;0;0;0;2;0;2;0;90;;1711165-1365
1711143;1443;1529741882462;1529741882462;0;;;;0;;;;0;0;0;0;0;0;0;0;20;90;0;3;0;0;0;0;0;0;1;90;;1711143-1443
